student_id,name,total_attempts,correct_answers,accuracy,topic_accuracy,preferred_topic,last_difficulty,next_suggested_difficulty
1,Student_1,44,5,0.11,"{'Java Basics': 0.7, 'Java OOP': 0.25, 'Java Multithreading': 0.21, 'Java Exceptions': 0.26, 'Java Collections': 0.52}",Java Collections,easy,easy
2,Student_2,36,17,0.47,"{'Java Basics': 0.83, 'Java OOP': 0.56, 'Java Multithreading': 0.25, 'Java Exceptions': 0.22, 'Java Collections': 0.89}",Java Multithreading,easy,medium
3,Student_3,25,10,0.4,"{'Java Basics': 0.36, 'Java OOP': 0.81, 'Java Multithreading': 0.46, 'Java Exceptions': 0.46, 'Java Collections': 0.52}",Java Exceptions,easy,easy
4,Student_4,94,32,0.34,"{'Java Basics': 0.72, 'Java OOP': 0.88, 'Java Multithreading': 0.35, 'Java Exceptions': 0.87, 'Java Collections': 0.78}",Java Exceptions,easy,easy
5,Student_5,58,8,0.14,"{'Java Basics': 0.6, 'Java OOP': 0.5, 'Java Multithreading': 0.43, 'Java Exceptions': 0.23, 'Java Collections': 0.66}",Java OOP,easy,easy
6,Student_6,38,7,0.18,"{'Java Basics': 0.49, 'Java OOP': 0.56, 'Java Multithreading': 0.72, 'Java Exceptions': 0.58, 'Java Collections': 0.4}",Java Multithreading,easy,easy
7,Student_7,33,29,0.88,"{'Java Basics': 0.47, 'Java OOP': 0.21, 'Java Multithreading': 0.2, 'Java Exceptions': 0.68, 'Java Collections': 0.39}",Java Exceptions,medium,hard
8,Student_8,52,50,0.96,"{'Java Basics': 0.64, 'Java OOP': 0.56, 'Java Multithreading': 0.2, 'Java Exceptions': 0.53, 'Java Collections': 0.78}",Java Collections,medium,hard
9,Student_9,53,20,0.38,"{'Java Basics': 0.56, 'Java OOP': 0.81, 'Java Multithreading': 0.69, 'Java Exceptions': 0.35, 'Java Collections': 0.8}",Java Collections,easy,easy
10,Student_10,22,19,0.86,"{'Java Basics': 0.22, 'Java OOP': 0.34, 'Java Multithreading': 0.45, 'Java Exceptions': 0.55, 'Java Collections': 0.38}",Java Multithreading,medium,hard
11,Student_11,69,26,0.38,"{'Java Basics': 0.64, 'Java OOP': 0.38, 'Java Multithreading': 0.7, 'Java Exceptions': 0.72, 'Java Collections': 0.21}",Java Multithreading,easy,easy
12,Student_12,24,22,0.92,"{'Java Basics': 0.41, 'Java OOP': 0.34, 'Java Multithreading': 0.52, 'Java Exceptions': 0.22, 'Java Collections': 0.5}",Java OOP,medium,hard
13,Student_13,97,16,0.16,"{'Java Basics': 0.59, 'Java OOP': 0.67, 'Java Multithreading': 0.54, 'Java Exceptions': 0.41, 'Java Collections': 0.82}",Java Multithreading,easy,easy
14,Student_14,97,73,0.75,"{'Java Basics': 0.58, 'Java OOP': 0.62, 'Java Multithreading': 0.8, 'Java Exceptions': 0.73, 'Java Collections': 0.73}",Java OOP,medium,hard
