Student_ID,Question_ID,Time_Spent,Attempts,Correct,Difficulty_Level
1102,543,37,4,0,Easy
1435,533,37,3,0,Medium
1860,573,117,2,1,Medium
1270,561,53,4,1,Hard
1106,599,93,1,0,Hard
1071,513,39,3,0,Hard
1700,594,71,4,1,Medium
1020,547,84,1,0,Medium
1614,514,101,1,1,Hard
1121,571,98,2,0,Hard
1466,577,112,3,1,Medium
1214,586,71,3,0,Hard
1330,561,106,2,1,Easy
1458,539,10,2,0,Medium
1087,584,36,3,0,Hard
1372,579,71,3,1,Medium
1099,581,86,4,0,Easy
1871,552,114,4,1,Medium
1663,523,12,2,0,Medium
1130,525,112,4,1,Medium
1661,588,79,1,0,Medium
1308,559,81,4,1,Easy
1769,540,36,4,0,Medium
1343,528,18,1,1,Medium
1491,514,71,2,0,Hard
1413,544,46,1,1,Medium
1805,564,106,4,1,Hard
1385,588,60,2,1,Easy
1191,570,115,4,0,Easy
1955,508,53,1,1,Easy
1276,587,33,1,0,Easy
1160,500,88,4,1,Hard
1459,507,68,3,0,Medium
1313,587,41,3,1,Easy
1021,562,105,1,0,Medium
1252,510,97,1,0,Hard
1747,580,114,3,1,Hard
1856,507,61,3,0,Hard
1560,534,71,4,0,Easy
1474,534,67,4,1,Medium
1058,532,61,3,0,Medium
1510,504,21,4,0,Medium
1681,540,48,4,0,Hard
1475,527,11,2,1,Easy
1699,506,12,4,0,Hard
1975,572,110,1,1,Hard
1782,571,65,4,0,Medium
1189,511,90,4,0,Hard
1957,533,68,3,0,Medium
1686,532,11,1,1,Easy
1957,547,11,4,0,Medium
1562,522,101,4,0,Easy
1875,561,63,2,1,Medium
1566,587,96,4,0,Hard
1243,536,110,4,1,Hard
1831,598,105,2,1,Easy
1504,543,106,3,0,Easy
1130,585,10,4,1,Easy
1484,590,28,2,0,Medium
1818,534,11,1,1,Medium
1646,564,62,3,1,Easy
1020,598,53,1,0,Hard
1840,546,99,1,1,Medium
1166,577,41,2,1,Medium
1273,502,79,4,1,Medium
1387,500,41,2,1,Easy
1600,504,77,2,1,Easy
1315,589,64,2,0,Easy
1013,513,84,2,1,Easy
1241,526,65,3,0,Easy
1776,508,26,4,1,Hard
1345,578,47,1,0,Hard
1564,514,33,1,0,Easy
1897,589,78,4,1,Medium
1339,541,107,1,1,Easy
1091,576,79,4,1,Hard
1366,550,95,1,0,Hard
1955,562,20,2,1,Medium
1454,595,25,1,0,Hard
1427,551,106,4,0,Easy
1508,595,82,4,0,Medium
1775,503,68,4,1,Easy
1942,593,79,4,1,Easy
1034,522,89,4,0,Medium
1205,514,102,3,0,Easy
1080,542,12,3,1,Hard
1931,528,29,1,0,Easy
1561,535,68,4,1,Medium
1871,512,45,1,0,Medium
1387,531,28,4,1,Medium
1001,570,99,4,0,Easy
1389,558,76,3,1,Medium
1565,585,28,3,0,Medium
1105,527,29,2,1,Easy
1771,565,105,3,1,Hard
1821,541,80,2,0,Easy
1476,544,61,2,0,Medium
1702,561,114,2,1,Medium
1401,556,42,2,0,Easy
1729,505,49,2,1,Hard
